n,carat,cut,color,clarity,depth,table,price,x,y,z
250,0.7,Ideal,E,SI1,61.6,56,2789,5.72,5.75,3.53
252,0.81,Good,G,SI2,61,61,2789,5.94,5.99,3.64
256,1.05,Fair,J,SI2,65.8,59,2789,6.41,6.27,4.18
258,0.76,Premium,I,VVS1,58.8,59,2790,6,5.94,3.51
261,0.71,Premium,F,VS1,61.8,59,2790,5.73,5.69,3.53
265,0.71,Premium,E,SI1,61.8,59,2792,5.7,5.75,3.54
266,0.71,Ideal,E,SI1,61.3,55,2792,5.72,5.77,3.52
269,0.76,Premium,H,VVS2,59.6,57,2792,5.91,5.86,3.51
276,0.79,Very Good,E,SI1,63.2,56,2794,5.91,5.86,3.72
277,0.71,Very Good,E,VS2,60.7,56,2795,5.81,5.82,3.53
278,0.81,Premium,I,VVS2,61.9,60,2795,5.91,5.86,3.64
279,0.81,Ideal,F,SI2,62.6,55,2795,5.92,5.96,3.72
281,0.72,Premium,D,SI2,62,60,2795,5.73,5.69,3.54
284,0.72,Premium,G,VS2,62.9,57,2795,5.73,5.65,3.58
285,1,Premium,I,SI2,58.2,60,2795,6.61,6.55,3.83
293,0.51,Ideal,D,VVS1,61.7,56,2797,5.12,5.16,3.17
296,0.74,Ideal,H,VS1,61.6,56,2797,5.81,5.82,3.58
297,0.7,Fair,G,VVS1,58.8,66,2797,5.81,5.9,3.44
299,1.01,Fair,E,SI2,67.4,60,2797,6.19,6.05,4.13
313,0.79,Ideal,I,VS1,61.8,59,2800,5.92,5.95,3.67
314,0.61,Ideal,G,IF,62.3,56,2800,5.43,5.45,3.39
316,0.96,Ideal,F,I1,60.7,55,2801,6.37,6.41,3.88
318,0.73,Premium,F,VS2,62.7,58,2801,5.76,5.7,3.59
319,0.75,Ideal,H,SI1,60.4,57,2801,5.93,5.96,3.59
324,1.04,Premium,G,I1,62.2,58,2801,6.46,6.41,4
325,1,Premium,J,SI2,62.3,58,2801,6.45,6.34,3.98
327,0.53,Ideal,F,IF,61.9,54,2802,5.22,5.25,3.24
328,0.72,Premium,E,VS2,63,55,2802,5.79,5.61,3.59
330,0.7,Very Good,F,VS2,62.9,58,2803,5.63,5.65,3.55
331,0.74,Very Good,E,SI1,63.5,56,2803,5.74,5.79,3.66
338,0.77,Premium,G,VS2,61.3,57,2803,5.93,5.88,3.62
340,0.78,Premium,G,VS2,60.8,58,2803,6.03,5.95,3.64
346,0.7,Very Good,D,SI1,62.3,58,2804,5.69,5.73,3.56
350,0.7,Ideal,D,SI1,61,59,2804,5.68,5.7,3.47
351,0.72,Ideal,D,SI1,62.2,56,2804,5.74,5.77,3.58
355,0.74,Premium,F,VS2,61.9,56,2805,5.8,5.77,3.58
356,0.73,Ideal,E,SI2,61.8,58,2805,5.77,5.81,3.58
357,0.57,Fair,E,VVS1,58.7,66,2805,5.34,5.43,3.16
358,0.73,Premium,F,VS2,62.5,57,2805,5.75,5.7,3.58
360,0.74,Fair,F,VS2,61.1,68,2805,5.82,5.75,3.53
361,0.82,Good,G,VS2,64,57,2805,5.92,5.89,3.78
367,0.93,Premium,J,SI2,61.9,57,2807,6.21,6.19,3.84
372,0.58,Ideal,E,VVS2,60.9,56,2808,5.41,5.43,3.3
378,0.7,Very Good,F,VS1,61.8,56,2810,5.63,5.7,3.5
384,0.83,Very Good,D,SI1,63.5,54,2811,5.98,5.95,3.79
385,1,Fair,J,VS2,65.7,59,2811,6.14,6.07,4.01
389,0.7,Good,E,SI1,63.5,59,2812,5.49,5.53,3.5
390,0.7,Very Good,F,VS2,61.7,58,2812,5.63,5.69,3.49
392,0.32,Premium,I,SI1,62.8,58,554,4.39,4.34,2.74
395,0.32,Very Good,I,SI1,63.1,56,554,4.39,4.36,2.76
398,0.3,Premium,H,SI1,60.1,55,554,4.41,4.38,2.64
399,0.3,Premium,H,SI1,62.9,58,554,4.28,4.24,2.68
401,0.3,Good,H,SI1,63.8,55,554,4.26,4.2,2.7
407,0.29,Very Good,E,VS1,62.4,55,555,4.2,4.25,2.63
410,0.34,Ideal,H,VS2,60.4,57,555,4.54,4.57,2.75
411,0.34,Ideal,I,VS1,61.8,55,555,4.48,4.52,2.78
414,0.29,Ideal,F,VS1,61.6,56,555,4.26,4.31,2.64
418,0.36,Ideal,I,VS2,61.9,56,556,4.54,4.57,2.82
424,0.99,Fair,J,SI1,55,61,2812,6.72,6.67,3.68
427,0.91,Premium,G,SI2,59.8,58,2813,6.3,6.29,3.77
431,0.76,Ideal,E,SI1,61.7,57,2814,5.88,5.85,3.62
433,0.55,Very Good,D,VVS1,61.5,56,2815,5.23,5.27,3.23
435,0.74,Premium,G,VS1,61.7,58,2815,5.79,5.81,3.58
436,0.7,Ideal,H,SI1,60.4,56,2815,5.75,5.81,3.49
441,0.95,Fair,F,SI2,56,60,2815,6.62,6.53,3.68
444,0.96,Fair,E,SI2,53.1,63,2815,6.73,6.65,3.55
445,1.02,Premium,G,I1,60.3,58,2815,6.55,6.5,3.94
446,0.78,Very Good,I,VVS2,61.4,56,2816,5.91,5.95,3.64
449,0.78,Premium,F,SI1,61.5,59,2816,5.96,5.88,3.64
450,0.87,Ideal,H,SI2,62.7,56,2816,6.16,6.13,3.85
453,0.71,Ideal,I,VVS2,60.2,56,2817,5.84,5.89,3.53
457,0.71,Premium,E,SI1,59.2,59,2817,5.86,5.83,3.46
459,0.71,Ideal,E,SI1,61.3,55,2817,5.77,5.72,3.52
469,0.7,Ideal,E,VS1,62.9,57,2818,5.66,5.61,3.54
470,0.7,Premium,E,VS1,59.6,57,2818,5.91,5.83,3.5
472,0.7,Premium,E,VS1,62.7,57,2818,5.68,5.64,3.55
473,1,Fair,H,SI2,65.3,62,2818,6.34,6.12,4.08
479,0.75,Ideal,E,SI1,62,57,2821,5.8,5.78,3.59
495,0.73,Ideal,F,SI1,62.1,55,2822,5.75,5.78,3.58
498,0.7,Premium,D,SI1,60.2,60,2822,5.82,5.75,3.48
508,0.7,Premium,E,VS2,60.7,62,2822,5.72,5.68,3.46
520,0.82,Ideal,F,SI2,62.4,54,2824,6.02,5.97,3.74
522,0.71,Premium,G,VS1,62.2,59,2825,5.73,5.66,3.54
524,0.73,Very Good,G,VS1,62,57,2825,5.75,5.8,3.58
525,0.83,Premium,H,SI1,62.5,59,2825,6.02,5.95,3.74
529,0.7,Good,E,VS1,57.2,59,2826,5.94,5.88,3.38
530,0.9,Premium,I,SI2,62.2,59,2826,6.11,6.07,3.79
534,0.9,Very Good,I,SI2,63.5,56,2826,6.17,6.07,3.88
536,0.96,Ideal,F,I1,60.7,55,2826,6.41,6.37,3.88
551,0.77,Very Good,H,SI1,61.7,56,2830,5.84,5.89,3.62
557,0.76,Very Good,E,SI2,60.8,60,2831,5.89,5.98,3.61
561,0.79,Ideal,G,SI1,61.8,56,2831,5.93,5.91,3.66
565,0.81,Premium,G,SI1,63,60,2832,5.87,5.81,3.68
568,0.9,Good,J,SI1,64.3,63,2832,6.05,6.01,3.88
576,0.8,Ideal,G,VS2,62.2,56,2834,5.94,5.87,3.67
581,0.9,Very Good,J,SI1,63.4,54,2834,6.17,6.14,3.9
582,0.9,Fair,G,SI2,65.3,59,2834,6.07,6,3.94
583,0.77,Ideal,E,SI2,60.7,55,2834,6.01,5.95,3.63
591,0.71,Good,E,VS2,62.8,60,2836,5.6,5.65,3.53
597,0.72,Premium,F,VS1,58.8,60,2838,5.91,5.89,3.47
600,0.7,Premium,G,VS1,62.6,55,2838,5.73,5.64,3.56
604,0.7,Premium,F,VS2,59.5,58,2838,5.85,5.75,3.45
607,0.71,Ideal,F,VS1,61.5,57,2839,5.74,5.71,3.52
619,0.79,Premium,G,VS2,59.3,62,2839,6.09,6.01,3.59
621,0.77,Very Good,H,VS1,61,60,2840,5.9,5.87,3.59
623,0.7,Ideal,F,SI1,61,56,2840,5.75,5.8,3.52
626,0.83,Premium,F,SI2,61.4,59,2840,6.08,6.04,3.72
630,0.73,Very Good,D,SI1,63.9,57,2841,5.66,5.71,3.63
631,0.82,Ideal,F,SI2,61.7,53,2841,6,6.12,3.74
633,0.82,Very Good,F,SI2,59.7,57,2841,6.12,6.14,3.66
635,1,Premium,F,I1,58.9,60,2841,6.6,6.55,3.87
651,0.71,Ideal,G,VVS2,60.7,57,2843,5.81,5.78,3.52
652,0.73,Very Good,E,SI1,57.7,61,2844,5.92,5.96,3.43
653,0.7,Very Good,E,VS1,62,59,2844,5.65,5.68,3.51
655,1.01,Good,I,I1,63.1,57,2844,6.35,6.39,4.02
657,0.7,Very Good,E,VS2,61.8,59,2845,5.65,5.68,3.5
660,1.27,Premium,H,SI2,59.3,61,2845,7.12,7.05,4.2
661,0.79,Ideal,D,SI1,61.5,56,2846,5.96,5.91,3.65
667,0.7,Ideal,E,SI1,61.6,57,2846,5.71,5.76,3.53
671,0.77,Premium,G,VS1,61.4,58,2846,5.94,5.89,3.63
672,0.84,Very Good,H,SI1,61.2,57,2847,6.1,6.12,3.74
676,0.54,Ideal,D,VVS2,61.5,55,2848,5.25,5.29,3.24
679,0.74,Very Good,E,VS1,63.1,58,2849,5.75,5.73,3.62
681,0.7,Ideal,F,VS2,60.8,59,2850,5.69,5.79,3.49
684,0.8,Very Good,F,SI1,63.4,57,2851,5.89,5.82,3.71
685,0.66,Ideal,D,VS1,62.1,56,2851,5.54,5.57,3.45
691,0.74,Ideal,G,SI1,61.3,55,2852,5.85,5.86,3.59
692,0.73,Ideal,E,SI1,62.7,55,2852,5.7,5.79,3.6
693,0.91,Very Good,I,SI1,63.5,57,2852,6.12,6.07,3.87
696,0.79,Ideal,D,SI2,62.8,57,2853,5.9,5.85,3.69
697,0.79,Premium,D,SI2,60,60,2853,6.07,6.03,3.63
703,0.73,Premium,E,VS2,62,57,2854,5.86,5.76,3.6
709,0.68,Premium,F,VVS2,61.7,57,2854,5.67,5.64,3.49
710,0.73,Very Good,F,VS2,62.5,57,2855,5.7,5.75,3.58
714,1.02,Fair,I,SI1,53,63,2856,6.84,6.77,3.66
715,1,Fair,G,SI2,67.8,61,2856,5.96,5.9,4.02
716,1.02,Ideal,H,SI2,61.6,55,2856,6.49,6.43,3.98
721,0.26,Ideal,E,VS1,62.3,57,556,4.05,4.08,2.53
723,0.36,Ideal,H,SI1,61.9,55,556,4.57,4.59,2.83
729,0.34,Ideal,E,SI1,62.2,54,556,4.47,4.5,2.79
730,0.32,Good,E,VS2,64.1,54,556,4.34,4.37,2.79
731,0.31,Ideal,I,VVS1,61.6,55,557,4.36,4.41,2.7
732,0.31,Ideal,I,VVS1,61.3,56,557,4.36,4.38,2.68
733,0.31,Ideal,I,VVS1,62.3,54,557,4.37,4.4,2.73
737,0.31,Ideal,G,VS2,62.2,53.6,557,4.32,4.35,2.7
738,0.31,Ideal,H,VS1,61.6,54.8,557,4.35,4.37,2.69
740,0.33,Premium,G,SI2,59.4,59,557,4.52,4.5,2.68
742,0.33,Premium,G,SI2,62.6,58,557,4.42,4.4,2.76
743,0.33,Ideal,G,SI2,61.9,56,557,4.45,4.41,2.74
750,0.33,Premium,I,SI1,60.4,59,557,4.54,4.5,2.73
758,0.72,Premium,E,SI1,62.1,58,2857,5.76,5.73,3.57
759,0.7,Ideal,G,VVS2,62.1,56,2858,5.63,5.71,3.52
761,0.81,Very Good,F,SI1,61.7,57,2858,6,6.05,3.72
764,0.71,Premium,E,VS2,61.5,60,2858,5.76,5.68,3.52
767,0.76,Ideal,E,SI1,62.7,54,2858,5.88,5.83,3.67
774,0.7,Premium,D,VS2,62.4,56,2859,5.72,5.66,3.55
776,0.71,Ideal,G,VS1,61.5,56,2859,5.74,5.78,3.54
778,0.75,Fair,F,VS1,55.8,70,2859,6.09,5.98,3.37
784,0.53,Ideal,F,VVS1,61.4,57,2860,5.23,5.2,3.2
791,0.66,Premium,D,VS1,61,58,2861,5.67,5.57,3.43
793,0.8,Very Good,F,SI1,62.6,58,2862,5.9,5.92,3.7
795,0.79,Premium,F,SI1,62.3,54,2862,5.97,5.91,3.7
798,0.7,Very Good,E,VS2,58.7,63,2862,5.73,5.69,3.35
800,0.7,Premium,E,VS2,59.5,59,2862,5.82,5.77,3.45
801,1.22,Premium,E,I1,60.9,57,2862,6.93,6.88,4.21
804,0.91,Good,I,VS2,64.3,58,2863,6.05,6.09,3.9
805,0.71,Ideal,D,SI1,60.8,56,2863,5.8,5.77,3.52
807,0.84,Premium,F,SI2,62.3,59,2863,6.06,6.01,3.76
808,0.71,Premium,D,SI1,61,61,2863,5.82,5.75,3.53
809,0.71,Premium,D,SI1,59.7,59,2863,5.82,5.8,3.47
811,0.71,Ideal,D,SI1,61.7,57,2863,5.75,5.7,3.53
812,0.71,Premium,D,SI1,61.4,58,2863,5.79,5.75,3.54
814,0.91,Premium,J,SI1,59.5,62,2863,6.4,6.18,3.74
815,0.9,Premium,J,VS2,59.8,62,2863,6.24,6.21,3.72
824,0.56,Very Good,D,VVS1,62,56,2866,5.25,5.3,3.27
827,0.7,Ideal,H,VVS1,62.3,58,2866,5.66,5.7,3.54
828,0.96,Premium,I,SI1,61.3,58,2866,6.39,6.3,3.89
831,0.71,Ideal,H,VVS1,60.4,57,2867,5.78,5.81,3.5
833,0.95,Premium,F,SI2,58.4,57,2867,6.49,6.41,3.77
837,0.82,Ideal,F,SI2,62.3,56,2867,6.02,5.96,3.73
839,0.8,Ideal,G,SI1,61.3,57,2867,5.96,5.91,3.64
843,0.79,Premium,E,SI2,61,58,2868,5.96,5.9,3.62
847,0.62,Ideal,G,IF,61.8,56,2869,5.43,5.47,3.37
848,0.73,Ideal,G,VVS2,61.3,57,2869,5.84,5.81,3.57
857,0.73,Premium,E,VS1,61.3,59,2870,5.81,5.78,3.55
860,0.73,Good,E,SI1,63.6,57,2871,5.7,5.72,3.63
863,0.79,Ideal,G,SI1,62.6,55,2871,5.91,5.95,3.71
866,1.02,Ideal,I,I1,61.7,56,2872,6.44,6.49,3.99
867,0.7,Very Good,G,SI2,59,62,2872,5.79,5.81,3.42
868,0.7,Ideal,D,SI1,61.8,56,2872,5.63,5.73,3.51
870,0.7,Ideal,D,SI1,61.4,54,2872,5.71,5.75,3.52
871,0.7,Ideal,D,SI1,60.7,56,2872,5.72,5.75,3.48
873,0.72,Very Good,E,VS2,58.3,57,2872,5.89,5.94,3.45
874,0.74,Ideal,E,SI1,62.3,58,2872,5.74,5.78,3.59
875,0.84,Good,G,SI1,65.1,55,2872,5.88,5.97,3.86
878,0.76,Ideal,E,SI2,62.8,56,2873,5.78,5.82,3.64
880,1,Fair,H,SI1,65.5,62,2873,6.14,6.07,4
882,0.9,Premium,J,SI1,61.8,58,2873,6.16,6.13,3.8
883,0.9,Good,J,SI1,64,61,2873,6,5.96,3.83
887,0.78,Premium,F,VS2,62.6,58,2874,5.91,5.82,3.67
895,0.7,Premium,G,VVS2,62.9,59,2874,5.68,5.61,3.55
896,1,Fair,H,SI2,67.7,60,2875,6.11,5.98,4.09
900,1,Fair,H,SI2,69.5,55,2875,6.17,6.1,4.26
905,0.74,Ideal,G,VS2,62.3,55,2877,5.8,5.83,3.62
908,0.79,Very Good,F,SI1,62.8,59,2878,5.86,5.89,3.69
910,0.79,Very Good,D,SI2,59.7,58,2878,6,6.07,3.6
914,0.63,Premium,E,IF,60.3,62,2879,5.55,5.53,3.34
916,0.71,Premium,F,VS1,62.7,58,2879,5.71,5.67,3.57
919,1.02,Ideal,J,SI2,60.3,54,2879,6.53,6.5,3.93
920,0.72,Fair,F,VS1,56.9,69,2879,5.93,5.77,3.33
921,0.72,Ideal,F,VS1,62,56,2879,5.76,5.73,3.56
924,0.7,Ideal,H,VVS1,62,55,2881,5.74,5.71,3.55
926,1.05,Premium,H,I1,62,59,2881,6.5,6.47,4.02
927,0.7,Very Good,H,IF,62.8,56,2882,5.62,5.65,3.54
928,0.54,Ideal,F,VVS1,61.8,56,2882,5.23,5.26,3.24
938,0.77,Ideal,D,SI2,61.5,55,2885,5.9,5.93,3.64
939,0.8,Fair,E,SI1,56.3,63,2885,6.22,6.14,3.48
940,0.9,Fair,D,SI2,66.9,57,2885,6.02,5.9,3.99
949,0.9,Good,H,SI2,63.5,58,2889,6.09,6.14,3.88
955,0.77,Premium,E,SI1,59.8,61,2889,5.99,5.95,3.57
958,0.8,Premium,F,SI1,61.5,60,2890,5.97,5.94,3.66
959,0.8,Good,F,SI1,63.8,59,2890,5.87,5.83,3.73
964,0.71,Ideal,E,VS2,62.7,56,2891,5.71,5.75,3.59
965,0.72,Ideal,D,SI1,61.1,56,2891,5.78,5.81,3.54
968,1.19,Fair,H,I1,65.1,59,2892,6.62,6.55,4.29
969,0.71,Very Good,F,VS1,62.6,55,2893,5.66,5.71,3.56
973,0.7,Very Good,H,VVS1,59.2,60,2893,5.87,5.78,3.45
976,0.82,Very Good,G,SI1,63.4,55,2893,6,5.93,3.78
983,0.7,Ideal,G,VVS2,62.1,53,2895,5.71,5.75,3.56
986,0.77,Very Good,G,VS2,58.3,63,2896,6,6.05,3.51
990,0.77,Ideal,D,SI2,62.1,56,2896,5.83,5.89,3.64
992,1.01,Very Good,I,I1,63.1,57,2896,6.39,6.35,4.02
993,1.01,Ideal,I,I1,61.5,57,2896,6.46,6.45,3.97
998,0.72,Good,F,VS1,59.4,61,2897,5.82,5.89,3.48
1001,0.75,Ideal,D,SI1,62.3,55,2898,5.83,5.8,3.62
1002,0.77,Ideal,D,SI1,62.6,57,2898,5.92,5.81,3.67
1009,0.79,Ideal,G,SI1,62.3,57,2898,5.9,5.85,3.66
1012,0.72,Premium,D,VS1,62.7,58,2900,5.68,5.65,3.55
1026,0.72,Premium,E,VS2,61.1,59,2903,5.8,5.75,3.53
1030,0.62,Ideal,E,VVS2,62,56,2904,5.48,5.52,3.41
1031,0.7,Very Good,G,VVS2,59.3,62,2905,5.78,5.82,3.44
1033,0.7,Very Good,G,VVS2,63.3,59,2905,5.59,5.62,3.55
1043,0.61,Ideal,E,VVS2,62.4,53.9,2907,5.42,5.43,3.38
1051,0.33,Ideal,G,SI2,62.9,55,557,4.46,4.41,2.79
1055,0.25,Good,F,VS1,63.6,57,558,4.04,4.01,2.56
1057,0.25,Premium,E,VS1,61.5,60,558,4.04,4.02,2.48
1058,0.31,Premium,I,VS2,60.8,58,558,4.37,4.34,2.65
1064,0.31,Ideal,E,SI2,61.7,56,558,4.4,4.35,2.7
1065,0.31,Ideal,E,SI2,60.1,57,558,4.44,4.41,2.66
1067,0.31,Premium,I,VS2,60.8,60,558,4.42,4.37,2.67
1069,0.31,Premium,I,VS2,59.9,60,558,4.44,4.41,2.65
1071,0.31,Premium,I,VS2,60.7,61,558,4.34,4.32,2.63
1075,0.31,Premium,H,SI1,61,61,558,4.39,4.33,2.66
1078,0.31,Premium,H,SI1,62.8,58,558,4.32,4.28,2.7
1082,0.73,Ideal,I,VS1,61.5,55,2908,5.8,5.84,3.58
1083,0.7,Premium,D,VS2,61,60,2909,5.75,5.7,3.49
1085,0.71,Ideal,H,VS1,61.2,56,2909,5.76,5.81,3.54
1086,0.71,Ideal,H,VS1,61.9,56,2909,5.7,5.74,3.54
1090,0.59,Ideal,E,VVS2,61.1,57,2911,5.39,5.41,3.3
1091,0.71,Ideal,G,VS2,60.6,56,2911,5.76,5.8,3.5
1100,0.7,Very Good,D,VS2,60.7,60,2913,5.72,5.74,3.48
1101,0.71,Premium,D,SI1,61.4,58,2913,5.75,5.79,3.54
1102,0.71,Premium,G,SI2,60.8,59,2913,5.7,5.74,3.48
1108,0.83,Premium,E,SI1,62.2,59,2913,6.05,5.97,3.74
1113,0.77,Very Good,G,SI1,63.6,57,2915,5.79,5.88,3.71
1120,0.71,Ideal,F,VS2,61.2,56,2917,5.77,5.73,3.52
1121,0.71,Very Good,F,VS2,59.5,58,2918,5.82,5.87,3.48
1122,0.8,Very Good,H,VS2,61.2,53,2918,5.98,6.05,3.68
1125,0.83,Very Good,D,SI2,63.1,57,2918,5.95,5.9,3.74
1130,0.73,Ideal,H,VS1,61.9,55,2919,5.79,5.76,3.58
1136,0.74,Very Good,H,VVS2,60.5,60,2921,5.79,5.81,3.51
1157,0.9,Premium,I,VS2,58.7,60,2923,6.35,6.28,3.7
1158,0.7,Ideal,I,VS1,61.5,56,2924,5.71,5.75,3.52
1165,0.81,Good,D,SI2,63.6,55,2926,5.91,5.86,3.74
1168,0.77,Very Good,H,VS1,63.3,57,2927,5.79,5.83,3.68
1170,0.9,Premium,H,SI2,59.5,60,2927,6.32,6.29,3.75
1173,0.74,Very Good,E,SI1,61,58,2929,5.82,5.85,3.56
1176,0.7,Ideal,E,SI1,60.1,57,2929,5.78,5.83,3.49
1180,0.71,Ideal,F,VS2,62.3,57,2930,5.69,5.74,3.56
1183,0.9,Very Good,E,SI2,58.7,63,2930,6.23,6.2,3.65
1191,0.7,Very Good,F,VVS2,63.2,58,2932,5.66,5.6,3.56
1194,0.73,Premium,F,VS2,59.9,58,2933,5.84,5.87,3.51
1196,0.75,Good,D,SI2,57.6,56,2933,5.98,6.07,3.47
1199,0.91,Premium,H,SI1,60.2,52,2935,6.27,6.15,3.74
1200,1.17,Fair,I,I1,65.4,62,2935,6.68,6.57,4.33
1205,0.7,Ideal,D,SI2,62.6,54,2936,5.69,5.72,3.57
1207,0.76,Premium,E,SI1,58.3,62,2937,6.12,5.95,3.52
1213,0.73,Very Good,F,VS2,62.7,58,2939,5.73,5.75,3.6
1215,0.83,Very Good,F,SI2,61.9,56,2939,5.99,6.02,3.72
1218,0.73,Ideal,F,VS2,62.7,58,2939,5.72,5.77,3.6
1222,0.81,Ideal,I,VS2,61.8,56,2939,6.02,5.99,3.71
1223,0.82,Premium,H,VS2,62.6,59,2939,5.99,5.93,3.73
1226,0.7,Very Good,F,VVS2,62.6,59,2940,5.6,5.64,3.52
1234,0.81,Very Good,F,SI2,62.7,58,2942,5.92,5.95,3.72
1241,0.72,Ideal,F,VS2,62,56,2943,5.77,5.75,3.57
1244,0.57,Very Good,D,VVS1,60.4,57,2945,5.39,5.44,3.27
1251,0.72,Ideal,H,VVS1,62.5,57,2946,5.7,5.73,3.57
1260,0.74,Ideal,I,VS1,62,56,2947,5.79,5.82,3.6
1261,0.74,Ideal,I,VS1,61.1,57,2947,5.83,5.86,3.57
1262,0.73,Ideal,D,SI1,61.2,57,2947,5.79,5.81,3.55
1264,0.9,Premium,I,SI1,60.9,56,2947,6.26,6.21,3.8
1266,0.7,Ideal,E,SI1,62,56,2948,5.68,5.7,3.53
1268,0.9,Fair,I,SI2,66.4,60,2948,5.92,5.86,3.91
1271,1,Fair,E,SI2,65.8,58,2948,6.28,6.16,4.09
1275,0.72,Ideal,H,VS1,62.3,55,2949,5.72,5.74,3.57
1277,0.81,Very Good,I,VS1,62.7,58,2950,5.9,5.96,3.72
1280,0.54,Ideal,F,VVS1,61.6,55,2951,5.27,5.28,3.25
1283,0.73,Ideal,F,SI1,61.6,55,2951,5.77,5.81,3.56
1288,0.7,Very Good,E,VS1,61.3,60,2952,5.68,5.7,3.49
1296,0.8,Very Good,H,VS2,59.1,59,2953,6.02,6.07,3.57
1305,0.76,Ideal,G,VS2,61.7,54,2954,5.88,5.92,3.64
