,EX,IM,fdi,CPI,RPI,ipsi,chi,mpmi,impmi,sr,m2,m0,GDP,Lfai,Lne,Lse,PMI,兼职,劳动合同法,招聘,小时工,智联招聘网,失业保险,工资,个人所得税,出口信贷,公务员工资,进口葡萄酒,出口,报关,大宗商品,BDI指数,海外代购,进口,进出口,进口配额,出口配额,出口许可证,成品油,汽车零部件,出口退税,铁矿石,石油,外汇,期货,进口化妆品,中国进出口贸易网,进出口代理,海关编码查询,来料加工,海运费,关税查询,原油,进出口银行,钢材,集装箱,政府采购,工程招标,差旅费,税收,招投标,教育支出,增值税,基础设施建设,大豆,华夏基金,利率,国债,融资,期权,收藏品,贵金属,外汇交易,股市,炒股,证券,创业,邮票,投资,房地产,保险,贷款,银行,基金,理财产品,消费,运费,装饰,电器,促销,书,茶,酒店,自助,出国,音响,餐巾纸,享受,时装,演唱会,维修,健身房,玩具,团购,减肥,美容,户外,首饰
200903,8.034319297,7.978028775,4.150756556,98.83333333,98.4,92.3,4.013387094,53.86666667,57.5,3.764616468,5.762212803,4.545623922,4.926670102,4.740980133,7.594100215,4.212192933,152,4337,2302,8707,167,7962,341,430,2536,71,344,81,239,487,180,464,107,169,157,0,0,83,224,159,674,600,752,1129,2231,89,118,102,238,245,138,74,209,137,904,355,434,105,71,277,218,0,884,62,507,5684,547,592,511,244,247,177,381,2706,996,2227,3728,825,959,2009,1623,1257,1306,10811,449,188,123,864,563,318,2686,1012,1159,101,403,881,129,163,722,1059,199,544,901,713,9819,1986,460,417
200904,8.072109922,7.98815275,4.314306587,99.1,98.6,97.93333333,4.074709504,55.66666667,58.9,3.768437325,5.776030705,4.565354633,5.044510362,4.785059349,7.788951375,4.042701491,262,2857,2268,7194,148,7563,353,420,2655,86,297,86,213,392,198,499,110,157,152,0,0,82,194,144,583,385,644,1041,1836,82,112,121,390,212,128,127,189,158,669,343,419,97,132,322,203,0,862,120,601,3660,672,521,504,301,200,186,365,1908,885,1583,3286,876,942,2086,1391,1211,1210,6685,420,229,122,810,510,295,2263,1014,1033,98,327,862,124,164,621,1011,182,366,856,682,4371,1102,407,341
201001,8.021501207,7.998337303,3.502707975,101.9333333,102.0333333,105.2,4.083148288,54.3,57.46666667,3.803820231,5.804229299,4.611430293,4.925460098,4.474109572,7.162693839,4.15624619,282,2625,2009,7567,142,7797,293,484,2434,74,273,86,218,373,277,209,112,158,155,0,0,78,166,139,530,584,558,988,1836,79,107,98,403,209,123,127,188,135,665,379,365,97,113,294,185,0,823,105,509,2696,693,525,518,287,195,178,516,1484,859,1359,2990,831,907,2008,1325,1197,1224,5009,546,217,117,575,487,271,2153,1014,964,99,309,822,120,152,615,975,177,454,857,619,5986,1169,379,318
201002,8.112217519,8.064144529,3.984003624,102.5,102.4333333,106.7666667,4.08246573,53.9,58.23333333,3.898043273,5.82254277,4.591837462,4.973362956,4.834132562,7.615276215,4.289620164,344,3745,2577,9003,165,11239,328,556,2288,87,282,93,262,567,206,121,136,170,175,0,0,92,223,175,816,945,756,1150,2249,84,124,101,517,278,142,152,285,150,808,506,501,114,148,600,252,0,1025,124,644,2633,737,650,679,374,219,208,744,1855,918,1378,4037,916,1038,2716,1538,1430,1426,4858,571,242,144,765,599,392,2531,1264,1203,109,371,886,149,195,688,1232,205,610,910,1330,7508,1409,498,410
201003,8.156067553,8.083834321,4.222301754,102.8,102.6333333,104.4666667,4.1063567,52.23333333,57.66666667,3.813101804,5.836291164,4.606677718,4.998966888,4.831371873,7.817178146,4.31583605,599,5099,2841,10862,188,12653,390,602,2268,79,317,119,301,582,178,138,302,173,182,0,0,93,206,176,752,737,692,1349,2184,81,115,107,718,309,155,172,265,153,792,455,496,116,157,345,261,0,1038,119,607,3029,688,667,635,364,232,223,481,1694,943,1367,4241,890,1098,1796,1723,1668,1648,5490,674,220,152,767,648,374,2762,1232,1320,123,421,910,151,193,711,1450,215,669,969,9426,7909,1481,572,451
201004,8.169008512,8.100529257,4.38314471,103.1666667,102.9666667,105.6666667,4.161252461,54.6,58.36666667,3.821331093,5.852424378,4.631677827,5.116810235,4.878207738,7.800136694,4.544935766,526,4667,2319,10388,193,7154,472,735,3609,103,542,143,261,580,409,169,219,192,187,0,0,106,300,190,734,641,824,1399,2901,89,118,112,729,306,150,196,321,208,754,516,573,115,183,495,290,0,1261,158,835,5331,1363,836,744,510,287,315,537,2465,1204,3069,4011,1364,1234,2559,2047,2029,1964,9266,784,283,174,768,713,437,2793,1496,1538,139,382,1029,171,212,730,1810,218,651,937,31197,6138,1262,645,434
201101,8.115404119,8.119500642,3.551915829,104.9333333,103.9666667,107.0333333,4.151767485,52.83333333,57.8,3.929371911,5.870775708,4.696736823,5.000163698,4.596211117,6,4.256563816,502,4544,1969,12720,233,3475,518,745,5903,83,458,163,283,577,358,212,246,206,176,0,0,107,296,180,707,679,772,1326,2504,98,112,117,701,306,158,171,424,168,737,494,472,116,182,497,296,0,1265,149,723,4300,1609,782,729,515,292,328,491,1969,1107,2251,4071,2117,1332,2456,3113,2029,1954,6956,995,269,171,667,687,374,2614,1449,1501,156,393,995,205,206,657,1605,216,691,968,41564,7499,1147,646,446
201102,8.199347315,8.154357295,4.021112655,105.2333333,104.5,106.9,4.155212363,51.93333333,57.83333333,4.010592382,5.884875083,4.65180413,5.048109157,4.929938593,7.669708443,4.421299485,756,5553,2565,13379,250,3643,595,767,7720,101,417,141,314,712,518,288,222,242,210,0,0,122,406,209,810,745,910,1445,2726,109,118,136,794,332,176,180,583,176,850,673,618,130,221,805,368,0,1459,157,807,3919,1606,925,855,679,328,498,679,1859,1106,1579,4783,1614,1466,2806,2233,2382,2059,5509,1014,309,208,801,803,492,2749,1671,1882,180,410,1054,194,243,703,2180,232,835,1041,60572,10931,46087,803,546
201103,8.237268781,8.179984936,4.252773669,105.6,105,107.1,4.175503848,50.93333333,56.73333333,3.913227653,5.89230144,4.663015147,5.074513279,4.943035791,7.804524461,4.398729706,971,6709,2566,13850,271,3288,627,734,8436,83,761,126,374,697,449,235,238,229,240,0,0,115,374,210,780,645,810,1601,2690,111,113,137,849,319,175,179,511,163,758,608,586,129,223,547,353,0,1430,139,764,3155,1486,1140,837,583,327,530,897,2325,1132,1472,4619,1390,1423,2318,2323,3033,2215,5225,1108,261,206,773,819,477,2647,1476,1852,169,451,1049,179,213,625,2275,236,841,1220,81631,8927,35042,818,548
201104,8.227099342,8.183563234,4.397242147,105.5,105.0333333,103.1333333,4.225084846,49.9,55.9,3.860521547,5.919692061,4.682878751,5.186544718,4.952593213,7.681974585,4.596040402,1040,5519,2683,12702,250,3131,599,745,5037,109,568,125,472,652,445,167,308,230,208,0,0,118,355,209,759,707,852,1573,2826,112,86,125,887,295,176,197,483,240,2605,638,683,140,245,636,370,0,2072,161,828,2808,1311,1020,855,666,339,562,548,2276,984,1530,4434,1399,1313,2928,2582,4212,2490,4326,1067,320,220,756,801,517,2671,1860,1814,181,541,1142,197,256,730,2887,247,804,1576,99176,9287,25271,842,519
201201,8.151273975,8.152628709,3.451764678,104.0666667,103.7,100.1333333,4.194519892,51.53333333,57,3.990481775,5.940874925,4.727890364,5.048411891,4.680021693,6.056611032,4.382343092,890,5939,2554,17620,288,2622,532,776,5298,83,457,128,511,626,369,187,343,241,225,0,0,109,390,209,739,592,883,1780,2613,112,84,183,893,309,192,190,485,193,1355,582,577,133,227,587,406,0,1760,147,769,3525,1590,1057,813,658,311,632,588,2178,1290,1393,4826,1541,1985,2023,2500,2724,2558,4784,1513,313,214,758,729,471,2422,1779,2302,178,699,1159,244,262,640,2518,308,822,2886,134534,17636,27930,801,540
201202,8.242213165,8.181071272,3.960372961,103.5,103.1666667,98.6,4.212008311,51.3,56,4.051570925,5.956533464,4.694652468,5.090281337,5.012181747,7.837861428,4.473850312,1039,7072,3266,16564,292,2839,570,741,4200,107,379,151,335,692,410,131,518,235,259,29,25,121,470,212,774,619,891,1586,2692,115,57,130,1022,296,210,216,587,195,917,690,663,136,263,755,457,0,1681,160,879,3109,1633,1152,870,772,296,756,756,1766,1527,1323,4835,1160,1388,2282,2530,2835,2547,3956,1228,310,240,860,791,874,2373,1864,2358,178,700,1160,248,319,669,2867,254,901,1352,81345,18321,28443,864,614
201203,8.256169733,8.187217186,4.196630182,102.9333333,102.4,96.66666667,4.231645467,49.7,55.2,3.946905933,5.968090247,4.708409324,5.112410933,5.026217868,7.900237591,4.480384988,1087,7599,2876,14610,273,1571,521,614,3852,82,351,123,288,669,390,141,619,241,255,80,78,110,448,189,763,575,776,1524,2430,128,48,164,950,289,204,174,580,177,801,617,591,122,220,442,387,64,1740,144,848,2272,1374,1019,798,827,248,786,483,1810,1023,1113,4447,936,1161,1869,2035,2779,2421,3356,1109,248,226,658,729,571,2013,1457,2259,170,690,1308,196,207,509,2358,232,888,1262,80346,12863,21520,824,691
201204,8.265860985,8.194887663,4.350120451,102.6666667,102.0333333,97.7,4.284029761,50.46666667,55.73333333,3.957448347,5.97848274,4.722822978,5.229635774,5.033030219,7.920354,4.619017114,950,5351,2547,13294,207,2420,536,599,3798,100,320,110,242,502,302,206,544,291,269,88,80,105,362,178,718,471,766,1065,2018,95,46,118,876,231,189,198,440,216,623,555,559,105,198,485,328,80,1657,148,794,2314,1211,953,744,675,260,741,427,1493,819,1004,3405,986,1077,1628,1746,2369,2339,2670,932,274,220,589,600,454,1682,1436,1979,185,619,952,159,213,452,2037,230,802,932,67677,7909,929,794,583
201301,8.22579167,8.185219872,3.474238695,102.3333333,101.4666667,98.3,4.246528124,50.46666667,55.43333333,4.020319577,6.003753519,4.773309806,5.090507762,4.764118422,7.638618508,4.431953682,770,4347,2356,8950,191,1848,554,617,4662,82,373,94,219,457,276,174,442,205,243,76,70,101,304,171,641,547,660,959,1724,97,53,100,794,210,166,167,336,186,439,469,441,107,187,400,314,62,1226,127,649,3946,1146,882,697,578,196,647,330,1564,827,969,2603,953,1015,1512,1472,1913,2046,3579,1094,236,193,395,520,328,1473,1330,1784,162,251,930,140,192,414,1603,183,783,909,59921,6244,955,669,388
201302,8.258405593,8.201980229,3.928905765,102.4,101.2333333,97.26666667,4.265480385,50.5,54.23333333,4.085388244,6.018285675,4.737962504,5.126262618,5.090699955,7.817637032,4.514246165,1000,4458,3656,12359,187,1523,565,561,3476,89,313,93,280,569,382,192,452,232,320,88,71,108,341,183,707,433,772,1059,1856,94,61,104,876,225,170,177,431,202,554,557,518,119,218,589,368,75,1515,139,769,4088,1014,996,799,636,211,808,408,2140,827,967,4156,956,1050,1598,1514,2037,2160,3244,1127,265,220,489,566,408,1498,1383,2024,159,266,959,152,214,430,1775,199,872,955,59294,9685,1367,770,407
201303,8.272771481,8.222349666,4.158526222,102.4666667,101.3333333,98.26666667,4.286205177,50.8,54.46666667,3.992974636,6.026764099,4.742488258,5.158591944,5.106836485,7.78918025,4.502676972,969,4051,3466,9982,201,1207,531,504,3076,74,567,94,214,477,305,329,469,205,281,73,64,93,337,180,690,373,665,979,1883,87,19,98,881,213,138,167,415,195,444,489,435,104,202,339,332,36,1524,118,662,4758,985,978,783,568,201,729,368,1712,778,930,5089,851,958,1423,1341,2087,2119,3395,1106,223,218,433,497,349,1313,1146,2028,152,272,923,136,189,368,1641,194,894,925,56972,24931,1384,730,367
201304,8.297146484,8.225009511,4.309154353,102.6,101.4333333,98.56666667,4.339193888,51.26666667,55.63333333,4.022161377,6.035520656,4.762257948,5.271914757,5.104897073,7.956881164,4.683152445,704,2716,2555,7228,174,1039,481,506,3075,86,380,80,183,394,263,346,538,231,220,81,60,89,279,164,610,376,653,912,1571,79,28,90,783,170,124,184,344,265,337,466,446,97,191,377,293,60,1340,117,628,5279,938,873,752,718,170,700,318,1303,736,873,2228,897,952,1376,1213,1951,2223,3149,1237,228,210,372,458,339,1171,1351,1671,147,215,896,132,183,355,1429,176,833,872,41527,4169,880,665,306
201401,8.201411268,8.197090116,3.452292448,102.3333333,101,98.03333333,4.296678351,50.33333333,54.3,4.05670873,6.079898986,5.05000961,5.123590986,4.834558728,7.219742604,4.483337631,725,2585,2461,8465,165,1942,529,536,3322,63,679,75,172,334,281,243,527,215,206,67,56,81,248,171,609,381,556,864,1537,78,8,89,718,165,118,171,283,186,311,482,368,89,239,324,288,37,1005,95,505,7697,913,818,692,694,139,672,325,1370,711,826,2353,851,942,1498,1059,1934,2063,3181,1719,204,200,428,398,268,1098,1149,1586,142,213,817,140,163,288,1150,169,863,861,36909,4258,802,556,280
201402,8.279280529,8.208177362,3.935191654,102.2666667,101.1,97.96666667,4.315831509,50.73333333,55.1,4.120369629,6.074368447,4.762441555,5.16381769,5.159713758,7.934199604,4.587953294,772,3172,3047,9103,175,1621,535,589,2884,80,738,74,191,437,342,226,573,229,223,80,67,96,260,192,700,556,700,920,1712,85,26,102,897,227,140,177,348,187,375,620,483,112,250,438,338,60,1295,116,686,4607,805,861,810,800,152,759,394,1169,687,858,3066,820,988,1709,1340,2400,1983,2216,1377,220,226,525,449,370,1270,1278,2156,146,258,896,143,194,306,1418,197,927,890,32716,6531,853,718,300
201403,8.325656928,8.227071648,3.574519404,101.9666667,101.0333333,98.36666667,4.335021705,51.3,54.2,4.019974277,6.078431068,4.763875502,5.193907571,5.161418108,8.107475958,4.537635268,808,3683,2829,14684,171,1195,529,593,2847,64,856,83,196,436,368,270,705,211,204,71,52,96,300,204,737,551,648,972,1716,90,47,116,876,227,144,171,503,197,434,694,487,148,265,279,365,30,1337,118,611,3848,789,847,842,791,192,784,458,1706,823,895,2944,756,973,1537,1392,2636,1762,2901,1287,202,218,492,449,352,1261,1112,2293,157,302,926,151,194,289,1430,206,920,873,29403,5765,827,693,304
201404,8.810260705,8.695961401,3.767971721,101.5,100.4666667,96.76666667,4.86476731,50.4,53.93333333,4.366107162,6.560649801,5.246473222,5.304147438,5.159018625,8.174627039,4.681444765,724,2885,2688,7940,142,1123,467,530,2692,92,1119,79,181,321,640,281,770,187,277,90,73,98,364,221,674,567,907,918,1924,98,37,128,812,192,128,150,1053,300,368,640,516,117,283,310,341,63,1480,133,648,4385,1066,867,795,1190,143,752,510,4923,999,1153,2551,896,943,1344,1197,2518,1794,4453,1313,218,210,429,410,406,1195,1108,1623,147,205,920,149,192,306,1409,197,864,787,20227,3448,837,613,270
201501,8.710977599,8.591381906,3.814979684,101.2,99.83333333,94.4,4.356461846,49.93333333,53.76666667,4.561186087,6.576965672,5.296416189,5.148192843,4.889364741,8.092482373,4.516076379,780,2461,2732,8897,191,1308,546,584,3245,85,1187,84,167,301,487,266,744,183,1600,92,74,94,331,188,708,510,877,838,1813,108,49,144,743,217,118,125,1713,211,342,562,439,113,229,278,310,42,1302,127,525,5455,1084,824,880,793,157,732,483,5274,1121,1186,2232,815,1171,1384,1107,2252,1758,5583,1600,204,188,379,309,352,1148,1076,1682,146,214,889,144,169,270,1127,201,876,772,16396,3422,832,653,269
